username,datetime,portal,page,remark1,remark2
"admin","2020-12-21 00:41:38","/s3-bucket/shiny-server/public/MathsPortal","AppPages-AMathTopicalPageModule-name","",""
"admin","2020-12-21 00:41:42","/s3-bucket/shiny-server/public/MathsPortal","AppPages-DBAccessPageModule-name","",""
"admin","2020-12-21 00:41:42","/s3-bucket/shiny-server/public/MathsPortal","AppPages-MathCPageModule-name","",""
"admin","2020-12-21 00:41:43","/s3-bucket/shiny-server/public/MathsPortal","AppPages-UserManagementPageModule-name","",""
"admin","2020-12-21 00:47:07","/s3-bucket/shiny-server/public/MathsPortal","AppPages-AMathPageModule-name","",""
"admin","2020-12-21 00:47:08","/s3-bucket/shiny-server/public/MathsPortal","AppPages-AMathQGenPageModule-name","",""
"admin","2020-12-21 00:47:09","/s3-bucket/shiny-server/public/MathsPortal","AppPages-AMathTopicalPageModule-name","",""
"admin","2020-12-21 00:47:13","/s3-bucket/shiny-server/public/MathsPortal","AppPages-DBAccessPageModule-name","",""
"admin","2020-12-21 00:47:13","/s3-bucket/shiny-server/public/MathsPortal","AppPages-MathCPageModule-name","",""
"admin","2020-12-21 00:47:14","/s3-bucket/shiny-server/public/MathsPortal","AppPages-UserManagementPageModule-name","",""
"admin","2020-12-21 00:47:47","/s3-bucket/shiny-server/public/MathsPortal","AppPages-AMathPageModule-name","",""
"admin","2020-12-21 00:47:48","/s3-bucket/shiny-server/public/MathsPortal","AppPages-AMathQGenPageModule-name","",""
"admin","2020-12-21 00:47:48","/s3-bucket/shiny-server/public/MathsPortal","AppPages-AMathTopicalPageModule-name","",""
"admin","2020-12-21 00:47:53","/s3-bucket/shiny-server/public/MathsPortal","AppPages-DBAccessPageModule-name","",""
"admin","2020-12-21 00:47:53","/s3-bucket/shiny-server/public/MathsPortal","AppPages-MathCPageModule-name","",""
"admin","2020-12-21 00:47:53","/s3-bucket/shiny-server/public/MathsPortal","AppPages-UserManagementPageModule-name","",""
"admin","2020-12-21 00:54:08","/s3-bucket/shiny-server/public/MathsPortal","AppPages-AMathPageModule-name","",""
"admin","2020-12-21 00:54:09","/s3-bucket/shiny-server/public/MathsPortal","AppPages-AMathQGenPageModule-name","",""
"admin","2020-12-21 00:54:09","/s3-bucket/shiny-server/public/MathsPortal","AppPages-AMathTopicalPageModule-name","",""
"admin","2020-12-21 00:54:14","/s3-bucket/shiny-server/public/MathsPortal","AppPages-DBAccessPageModule-name","",""
"admin","2020-12-21 00:54:14","/s3-bucket/shiny-server/public/MathsPortal","AppPages-MathCPageModule-name","",""
"admin","2020-12-21 00:54:15","/s3-bucket/shiny-server/public/MathsPortal","AppPages-UserManagementPageModule-name","",""
"admin","2020-12-21 02:06:40","/s3-bucket/shiny-server/public/MathsPortal","AppPages-AMathPageModule-name","",""
"admin","2020-12-21 02:06:41","/s3-bucket/shiny-server/public/MathsPortal","AppPages-AMathQGenPageModule-name","",""
"admin","2020-12-21 02:06:41","/s3-bucket/shiny-server/public/MathsPortal","AppPages-AMathTopicalPageModule-name","",""
"admin","2020-12-21 02:06:47","/s3-bucket/shiny-server/public/MathsPortal","AppPages-DBAccessPageModule-name","",""
"admin","2020-12-21 02:06:47","/s3-bucket/shiny-server/public/MathsPortal","AppPages-MathCPageModule-name","",""
"admin","2020-12-21 02:06:48","/s3-bucket/shiny-server/public/MathsPortal","AppPages-UserManagementPageModule-name","",""
"admin","2020-12-21 02:49:36","/s3-bucket/shiny-server/public/MathsPortal","AppPages-AMathPageModule-name","",""
"admin","2020-12-21 02:49:37","/s3-bucket/shiny-server/public/MathsPortal","AppPages-AMathQGenPageModule-name","",""
"admin","2020-12-21 02:49:37","/s3-bucket/shiny-server/public/MathsPortal","AppPages-AMathTopicalPageModule-name","",""
"admin","2020-12-21 02:49:43","/s3-bucket/shiny-server/public/MathsPortal","AppPages-DBAccessPageModule-name","",""
"admin","2020-12-21 02:49:43","/s3-bucket/shiny-server/public/MathsPortal","AppPages-MathCPageModule-name","",""
"admin","2020-12-21 02:49:44","/s3-bucket/shiny-server/public/MathsPortal","AppPages-UserManagementPageModule-name","",""
"admin","2020-12-23 01:27:36","/s3-bucket/shiny-server/public/MathsPortal","AppPages-AMathPageModule-name","",""
